"Algo","Makespan","TotalCost","Utilization","Imbalance"
"RR","5486.25","47.73","0.8040","0.25"
"PSO","5258.12","47.48","0.8076","0.16"
"RL","4462.629749999999","48.29725755833332","0.9025216764472413","0.06527856956165112"
