"Iteration","Makespan","TotalCost","Utilization","Imbalance"
"100","7323.790250000004","44.48898683333336","0.5783595416624918","0.32557199297067446"
"200","7261.2085","47.826586874999975","0.5782870984140513","0.1368132850178826"
"300","6926.876416666668","45.57400238333335","0.5874873671915719","0.1302245694364492"
"400","5066.000083333336","46.31126569166668","0.7628183023618522","0.039583020248749"
"500","5485.294416666671","46.04939962500005","0.7426563181691672","0.15176356097187413"
"600","5591.131083333334","46.49334559166669","0.7094982753911958","0.09009496829770429"
"700","5408.501083333334","46.18947199166667","0.7452372188620199","0.10744774876021232"
"800","4632.3765833333355","46.29227968333335","0.8263737757311601","0.08340469028321512"
"900","4809.709416666666","45.925443274999985","0.8208005682302161","0.04480166839711402"
"1000","4135.417916666667","46.05445927499999","0.950516172807874","0.02011123440358841"
