"Algo","Makespan","TotalCost","Utilization","Imbalance"
"RR","9513.12","96.73","0.8946","0.10"
"PSO","8908.49","97.23","0.9431","0.07"
"RL","8788.661416666666","97.42077749999991","0.9470565627250069","0.03815509754834653"
