"Iteration","Makespan","TotalCost","Utilization","Imbalance"
"200","16963.164750000004","94.08539930000009","0.537773442305334","0.3259050853493593"
"400","13913.330666666674","95.1301599666667","0.5974240104470236","0.20316949767209738"
"600","11075.122416666673","96.91522810000005","0.7176973014998557","0.1612088186699504"
"800","11136.663250000001","96.45584632500005","0.715805412661044","0.18981304862894952"
"1000","10091.917250000006","96.27728445000001","0.7979530351380957","0.17860182291808935"
"1200","9187.99791666667","97.70906828333335","0.8829814801420058","0.054467204273153665"
"1400","8922.349416666666","98.5637941833333","0.901543894241931","0.1222080600653211"
"1600","9140.249250000004","97.3475326166667","0.8867202390569384","0.06921599395785209"
"1800","9233.417000000003","97.22218755","0.894442836757448","0.009381062874289383"
"2000","8788.661416666666","97.42077749999991","0.9470565627250069","0.03815509754834653"
