"Iteration","Makespan","TotalCost","Utilization","Imbalance"
"150","12134.999","77.87925610833337","0.5910812211667901","0.19949891691915603"
"300","12484.205833333333","78.03121711666664","0.5598633237494458","0.15522563931677721"
"450","11835.9145","77.7666552916667","0.5791277307347529","0.15900548938823908"
"600","9110.334166666666","81.28929754166671","0.6909819413564015","0.2683402850478754"
"750","8573.751166666667","80.31392850000002","0.7701281451932354","0.11261685676343536"
"900","8964.879","80.83480925833334","0.7197786588456278","0.19096409899879194"
"1050","8140.187416666667","80.7886493166667","0.7837125965435133","0.20196761251144899"
"1200","7706.355583333334","80.47399588333337","0.8349792349064729","0.16074831548786905"
"1350","7603.588083333335","80.03302595833338","0.8643384887904396","0.09264825412922077"
"1500","7359.337916666667","79.49246328333331","0.8951347657651794","0.0733427226922251"
