"Iteration","Makespan","TotalCost","Utilization","Imbalance"
"200","5475.864499999997","34.368156633333314","0.5670473483126625","0.27509541430449364"
"400","3861.0439999999985","33.82823060833332","0.7686054025226795","0.10314412086940286"
"600","3153.2189999999982","34.09144523333331","0.9313279188311655","0.042155729754064473"
"800","3171.891749999999","34.11260325","0.9222715434724408","0.029067392780328632"
"1000","3095.709166666665","34.15173670833333","0.9442599626920885","0.02912146625377928"
