"Iteration","Makespan","TotalCost","Utilization","Imbalance"
"250","16322.611000000004","105.5344591750001","0.5889018630522888","0.20312306518622356"
"500","14363.696916666673","105.42072695833343","0.6461697692501944","0.09969531751983203"
"750","14053.94325","106.37836842500003","0.6433382831699023","0.0075880880532910614"
"1000","12995.114666666672","107.48212971666672","0.7081974681733393","0.14983135894130828"
"1250","12817.150999999993","108.19124422499988","0.694813036930837","0.13324464097942493"
"1500","13086.196750000001","104.66711074166665","0.7055861211589648","0.1507859269930864"
"1750","12162.82358333333","106.79387760000002","0.7496291962304289","0.06104461929456686"
"2000","11051.950500000004","106.3099191500001","0.8153987891599371","0.016553484457028728"
"2250","12022.445750000006","105.43915979166671","0.7634812852728692","0.08673417502831467"
"2500","10683.616250000001","106.22089600000007","0.8258044544504194","0.09521599975127788"
