"Iteration","Makespan","TotalCost","Utilization","Imbalance"
"100","6636.584000000002","45.81811952500001","0.5980287616507398","0.06706304238864125"
"200","7455.750583333334","46.39120362500002","0.562247855655013","0.2784123817249824"
"300","6360.374916666669","46.53819785000001","0.6037608885363711","0.0763045187961452"
"400","5384.211416666667","45.45553000833334","0.7078299318267549","0.22681288435547142"
"500","5099.876000000001","46.422827775","0.7394748094528837","0.1280042936774369"
"600","5058.421416666668","46.42879173333334","0.7354614599215297","0.18332991064636642"
"700","4885.172916666666","47.477795016666654","0.7417871680591314","0.31378813414178475"
"800","4813.670916666668","47.04876608333332","0.7967802904497354","0.12860610573543166"
"900","4444.169","46.43204488333332","0.866699413696164","0.06250639678936838"
"1000","4363.004749999999","46.118323708333314","0.8806001121640364","0.07222990211707452"
